Sno.,Model Name,Price,RAM,ROM,Battery Capacity,Camera,URL,Features
68,Callbar Bold 310,650,32 MB RAM,32 MB ROM,850 mAh Battery,1.3MP Rear Camera,https://www.flipkart.com/callbar-bold-310/p/itm06ccb45d09ab3?pid=MOBFXFPZS7ZWYHFH&lid=LSTMOBFXFPZS7ZWYHFHNXURO1&marketplace=FLIPKART&srno=b_3_68&otracker=browse&fm=organic&iid=90c1f664-5a99-4cbd-851b-8513e75c325b.MOBFXFPZS7ZWYHFH.SEARCH&ssid=6vu2rec0zk0000001605235582370,32 MB RAM | 32 MB ROM 5.08 cm (2 inch) Display 1.3MP Rear Camera 850 mAh Battery 1 YEAR FOR HANDSET
69,EcoTel E16,655,32 MB RAM,64 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/ecotel-e16/p/itm46425cea1aee6?pid=MOBFPNNH2KHFFHN2&lid=LSTMOBFPNNH2KHFFHN2XI30HO&marketplace=FLIPKART&srno=b_3_69&otracker=browse&fm=organic&iid=90c1f664-5a99-4cbd-851b-8513e75c325b.MOBFPNNH2KHFFHN2.SEARCH&ssid=6vu2rec0zk0000001605235582370,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Warranty
70,Grabo G310,659,64 MB RAM,64 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/grabo-g310/p/itm49634e103ef2c?pid=MOBFZQKQCSVGCHZU&lid=LSTMOBFZQKQCSVGCHZUIQ1YZB&marketplace=FLIPKART&srno=b_3_70&otracker=browse&fm=organic&iid=90c1f664-5a99-4cbd-851b-8513e75c325b.MOBFZQKQCSVGCHZU.SEARCH&ssid=6vu2rec0zk0000001605235582370,64 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Quarter QVGA Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Manufacturer Warranty for Device
71,MIXX M1 HERO,664,60 MB RAM,64 MB ROM,1100 mAh Battery,2.4MP Rear Camera,https://www.flipkart.com/mixx-m1-hero/p/itm2aecac30ef193?pid=MOBFSV9HKJAHX6YN&lid=LSTMOBFSV9HKJAHX6YNAZ5UBE&marketplace=FLIPKART&srno=b_3_71&otracker=browse&fm=organic&iid=90c1f664-5a99-4cbd-851b-8513e75c325b.MOBFSV9HKJAHX6YN.SEARCH&ssid=6vu2rec0zk0000001605235582370,60 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 2.4MP Rear Camera 1100 mAh Battery 1 Year Warranty
72,nuvo NF18-BW,664,32 MB RAM,32 MB ROM,800 mAh Battery,1.3MP Rear Camera,https://www.flipkart.com/nuvo-nf18-bw/p/itmacbb4ade7905a?pid=MOBFVF4TCSSKPXZR&lid=LSTMOBFVF4TCSSKPXZRWY9HGM&marketplace=FLIPKART&srno=b_3_72&otracker=browse&fm=organic&iid=90c1f664-5a99-4cbd-851b-8513e75c325b.MOBFVF4TCSSKPXZR.SEARCH&ssid=6vu2rec0zk0000001605235582370,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) NA Display 1.3MP Rear Camera 800 mAh Battery 12 months warranty from date of purchase
73,Ziox Z32,665,32 MB RAM,32 MB ROM,1800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/ziox-z32/p/itm698735013ee56?pid=MOBFWGQAH89PNP6C&lid=LSTMOBFWGQAH89PNP6CZSOXRK&marketplace=FLIPKART&srno=b_4_73&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFWGQAH89PNP6C.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1800 mAh Battery ONE YEAR MANUFACTURING WARRANTY
74,I Kall K34 New,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k34-new/p/itm70858d794e2ed?pid=MOBFGYCCRWJVTKB6&lid=LSTMOBFGYCCRWJVTKB6VYL8ZN&marketplace=FLIPKART&srno=b_4_74&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFGYCCRWJVTKB6.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) QVGA Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacture Warranty
75,I Kall K23 New Mobile,669,64 MB RAM,32 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k23-new-mobile/p/itm0a1438e139dd2?pid=MOBFH9KBRUBS5BBZ&lid=LSTMOBFH9KBRUBS5BBZNSZDB5&marketplace=FLIPKART&srno=b_4_75&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFH9KBRUBS5BBZ.SEARCH&ssid=kxvmlktf6o0000001605235583758,64 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 15 Month Manufacturer Warranty
76,I Kall K 54,669,32 MB RAM,32 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k-54/p/itmdba9d6bf40366?pid=MOBFZ9RVKW6CGCBZ&lid=LSTMOBFZ9RVKW6CGCBZR2CPHT&marketplace=FLIPKART&srno=b_4_76&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFZ9RVKW6CGCBZ.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacturer warranty
77,I Kall K44 new mobile,669,32 MB RAM,32 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k44-new-mobile/p/itm0cdb1634f7da6?pid=MOBFGYBAQKAQAQ2R&lid=LSTMOBFGYBAQKAQAQ2RP6UYAH&marketplace=FLIPKART&srno=b_4_77&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFGYBAQKAQAQ2R.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB 4.57 cm (1.8 inch) QVGA Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacture Warranty
